Date,AAPL,GOOGL
2006-07-14,6.512224,201.95195
2006-07-17,6.730712,204.149155
2006-07-18,6.798830000000001,201.72673
2006-07-19,6.953056,199.69970700000002
2006-07-20,7.775599000000001,193.75375400000001
2006-07-21,7.803876,195.25024399999998
2006-07-24,7.893839,195.645645
2006-07-25,7.959386,194.874878
2006-07-26,8.208718,192.942947
2006-07-27,8.148311999999999,191.39138799999998
2006-07-28,8.429775,194.254257
2006-07-31,8.734373,193.4935
2006-08-01,8.634129,187.942947
2006-08-02,8.760078,183.798798
2006-08-03,8.943867,187.88288899999998
2006-08-04,8.778071,187.112106
2006-08-07,8.637982000000001,189.164169
2006-08-08,8.325673,190.690689
2006-08-09,8.172732,188.65866100000002
2006-08-10,8.234424,187.28729199999998
2006-08-11,8.180444,184.434433
2006-08-14,8.217713,184.899902
2006-08-15,8.540306,190.675674
2006-08-16,8.736945,194.054047
2006-08-17,8.686819,193.093094
2006-08-18,8.727949,191.871872
2006-08-21,8.554442,188.838837
2006-08-22,8.690676,189.334335
2006-08-23,8.650836,186.901901
2006-08-24,8.715098,187.05204799999998
2006-08-25,8.835907,186.81681799999998
2006-08-28,8.608424000000001,190.665665
2006-08-29,8.544162,189.664658
2006-08-30,8.605851,190.565567
2006-08-31,8.720234,189.454453
2006-09-01,8.788355000000001,189.48948700000003
2006-09-05,9.186776,192.372375
2006-09-06,9.000416,190.260254
2006-09-07,9.356423,189.434433
2006-09-08,9.320438000000001,189.11411999999999
2006-09-11,9.317867,192.237244
2006-09-12,9.334575,196.146149
2006-09-13,9.536354,203.488495
2006-09-14,9.5325,202.1922
2006-09-15,9.523502,205.145142
2006-09-18,9.496513,207.552551
2006-09-19,9.481091000000001,202.107101
2006-09-20,9.672589,198.6987
2006-09-21,9.594189,203.628632
2006-09-22,9.382127,202.09208700000002
2006-09-25,9.735563,202.1922
2006-09-26,9.974614,203.63864099999998
2006-09-27,9.820386,201.661667
2006-09-28,9.897501,201.991989
2006-09-29,9.893647,201.151154
2006-10-02,9.62118,200.92091399999998
2006-10-03,9.520932,202.222229
2006-10-04,9.68801,208.05806
2006-10-05,9.617326,206.11111499999998
2006-10-06,9.538924,210.460464
2006-10-09,9.591617999999999,214.71472200000002
2006-10-10,9.486228,213.538544
2006-10-11,9.411686999999999,213.46347000000003
2006-10-12,9.672589,213.933929
2006-10-13,9.641742,213.86386099999999
2006-10-16,9.69058,211.08608999999998
2006-10-17,9.54792,210.53053300000002
2006-10-18,9.578764999999999,209.86486800000003
2006-10-19,10.151978999999999,213.24324
2006-10-20,10.275355000000001,230.06506299999998
2006-10-23,10.469425,240.63062999999997
2006-10-24,10.416731,236.89189100000002
2006-10-25,10.4977,243.543549
2006-10-26,10.563248,242.79278599999998
2006-10-27,10.334475999999999,237.83784500000002
2006-10-30,10.33576,238.523529
2006-10-31,10.420588,238.43342599999997
2006-11-01,10.173827000000001,233.98397799999998
2006-11-02,10.150689999999999,235.19018599999998
2006-11-03,10.062012,236.13613900000001
2006-11-06,10.244513000000001,238.71371499999998
2006-11-07,10.347329,236.521515
2006-11-08,10.596662,237.737732
2006-11-09,10.711047,236.551544
2006-11-10,10.682772,237.01200899999998
2006-11-13,10.840854,240.75575299999997
2006-11-14,10.924394,244.89489700000001
2006-11-15,10.802297,246.21121200000002
2006-11-16,11.002794999999999,248.198196
2006-11-17,11.033638999999999,249.644638
2006-11-20,11.113322,247.77276600000002
2006-11-21,11.387075999999999,255.080078
2006-11-22,11.606848,254.259262
2006-11-24,11.776498,252.75274700000003
2006-11-27,11.507885,242.617615
2006-11-28,11.799632,244.99499500000002
2006-11-29,11.798347,242.56756600000003
2006-11-30,11.780353999999999,242.64764399999999
2006-12-01,11.736657000000001,240.64064
2006-12-04,11.710953,242.667664
2006-12-05,11.730229,243.743744
2006-12-06,11.545157000000001,244.599594
2006-12-07,11.186579,241.561554
2006-12-08,11.343378999999999,242.297302
2006-12-11,11.406352,242.20721400000002
2006-12-12,11.070912,241.13113399999997
2006-12-13,11.444911,239.734741
2006-12-14,11.380651,241.3013
